특허명,출원일자,등록일자,출원국
불법 콘텐츠 유통 차단 및 불법 배포자 추적 시스템 및 방법,2011-12-21,2014-09-02,미국
동종 프로세서 코어 기반 멀티프로세서 구성을 위한 분산된 에너지 조절 기능 장치 설계,2011-08-11,2014-12-02,미국
스피커 어레이 기반 음장 합성을 이용한 음장 재생 장치 및 방법,2011-11-04,2015-02-17,미국
소량의 상향 링크 데이터 전송 방법 및 소량의 상향 링크 데이터 수신 방법,2010-12-23,2015-10-13,대한민국
복합 상황 정보를 이용한 스마트 스트리밍 서비스 제공 방법 및 그 시스템,2011-10-28,2014-04-15,미국
빔포밍 음향 이미징을 이용한 보안 감시 시스템 및 이를 이용한 보안 감시 방법,2010-12-07,2017-05-11,대한민국
전방향성 안테나의 수평 빔 보정 방법 및 장치,2011-10-07,2014-07-01,미국
센서 네트워크 에뮬레이션 장치 및 그 동작 방법,2010-11-16,2013-11-29,대한민국
디지털 콘텐츠 포렌식마킹 장치 및 그 방법,2011-12-02,2014-06-10,미국
유사 난수 생성기를 활용한 pivot 결정 방법 및 이를 기반으로 한 순서 보존 암호화 방법,2011-12-21,2014-08-26,미국
3ＤＴＶ 서비스에서의 영상 압축 규격 결정 방법 및 장치,2013-05-13,2016-03-15,미국
케이블 네트워크에서 ＯＮＵ 장치 및 동기화 방법,2010-12-17,2018-03-26,대한민국
ＷＡＶＥ 기반의 차량 통신 시스템에서의 프레임 송신 장치 및 방법,2011-09-28,2014-07-08,미국
"무선통신 시스템의 전송 방치, 수신 장치, 전송 방법 및 수신 방법",2011-11-16,2015-03-03,미국
Ｗｉ-Ｆｉ 시스템에서 접속 지점 위치 추정 방법 및 장치,2010-11-15,2014-07-23,대한민국
압전 마이크로 에너지 수확기 및 이의 제조 방법,2013-10-29,2016-03-22,미국
이기종 영상기기 간 색 일치 장치 및 그 방법,2010-12-23,2017-06-09,대한민국
항공 영상 간 대응 관계 추출 장치 및 그 방법,2011-12-14,2016-07-12,미국
"무선통신 시스템에서 단말의 동작 방법, 단말 및 홈 기지국",2010-12-20,2017-06-05,대한민국
자기력을 이용한 혈장 분리 방법 및 장치,2010-12-06,2017-06-14,대한민국
1차 면허권 시스템이 존재하는 환경에서 주파수 공유 시스템을 위한 주파수 할당 방법 및 장치,2013-12-30,2015-08-28,대한민국
무선 망에서 노드들에게 시간 동기 전달을 지원하는 통신 방법,2011-09-28,2015-04-21,미국
중력 탐색 적응 장치 및 방법,2011-12-22,2015-06-23,미국
다중채널 무선랜 환경에서 멀티랑데뷰 애드혹 방식에 기반한 개별채널 연쇄접속방법 및 밴드탐색절차,2011-12-23,2014-06-24,미국
다중채널와 다중안테나를 사용하는 무선랜 시스템에서 공간-주파수 도메인의 수신전력분포도를 반영하는 효율적인 동기기법,2011-12-23,2016-01-19,미국
MIMO 시스템에서 데이터를 송수신하는 방법 및 장치,2016-11-28,2017-12-01,일본
MIMO 시스템에서 데이터를 송수신하는 방법 및 장치,2016-03-21,2020-10-28,폴란드
MIMO 시스템에서 데이터를 송수신하는 방법 및 장치,2015-04-15,2015-10-27,미국
자계 및 가속도 센서를 이용한 센서노드 제어 장치 및 방법,2011-10-07,2015-11-10,미국
상향링크 제어 정보를 인코딩하는 방법,2011-05-10,2019-07-24,영국
"ＭＢＭＳ서비스를 수신/전송하는 방법 및 ＭＢＭＳ서비스를 수신하는 단말, ＭＢＭＳ서비스를 전송하는 기지국과 ＭＣＥ",2010-12-23,2017-05-23,대한민국
"객체 기반 오디오를 제공하는 방송 송신 장치 및 방법, 그리고 방송 재생 장치 및 방법",2013-06-21,2016-08-09,미국
무선 에너지 및 데이터 송수신 장치 및 방법,2011-11-09,2013-07-02,미국
필터 정보 예측을 이용한 영상 부호화/복호화 방법 및 장치,2013-03-29,2016-06-07,미국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2016-07-04,2019-10-01,중국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2015-08-05,2017-10-23,대한민국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,스웨덴
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2017-04-17,2017-12-05,미국
에너지 라우팅 시스템 및 그를 이용한 스마트그리드 운용 방법,2011-12-21,2015-05-12,미국
"지능형 전력망 연동 홈 네트워크에서의 전력 관리 시스템, 전력 관리 장치 및 방법",2010-12-23,2017-04-19,대한민국
아날로그 위상에러 보상기를 장착한 프랙셔널 디지털 위상고정루프,2011-12-02,2013-04-30,미국
네트워크 전력관리장치 및 그를 이용한 전력관리방법,2011-12-15,2014-07-15,미국
"연속모드파장변환 장치, 버스트 모드 파장 변환 장치, 원격 종단 장치 및 국사 종단 장치",2011-12-22,2015-07-07,미국
"깊이감 조절 방법과 장치, 이를 구비하는 단말기 및 그 동작 방법",2011-12-07,2014-03-18,미국
다이내믹 레인지 삼차원 영상 시스템,2010-12-23,2017-06-07,대한민국
멀티플 필드 플레이트를 포함하는 전계효과 트랜지스터,2011-11-30,2013-11-19,미국
통합 메모리 서비스를 위한 소프트웨어 구조 및 이 소프트웨어 구조를 이용한 통합 메모리 서비스 제공 방법,2011-12-08,2015-01-27,미국
이동형 군집 로봇들의 실시간 위치 정보를 제공하는 실내외 Seamless 위치 측위 시스템 구조 및 그 방법,2011-12-16,2014-06-24,미국
전류스위치 구동회로 및 디지털 아날로그 신호변환기,2011-12-02,2013-09-24,미국
동적 바이어스 회로,2011-09-23,2013-12-17,미국
광 검출 소자 및 이를 제조하는 방법,2011-10-28,2015-01-06,미국
이기종 통신 시스템 검출 방법 및 장치,2010-11-25,2016-10-26,대한민국
분리형 기지국에서의 데이터 전송 장치 및 방법,2011-12-22,2014-09-16,미국
광대역 무선 통신 시스템에서 지향성 안테나를 사용하는 경쟁 기반 채널 접속 방법 및 그 장치,2011-08-23,2017-09-26,대한민국
무선 통신 시스템에서 데이터 블록 전송 방법 및 전송기,2013-03-26,2017-07-26,독일
무선 통신 시스템에서 복수개의 세그먼트 주파수 대역에 걸쳐서 부호화 및 인터리빙을 수행하는 장치 및 방법,2017-06-14,2021-03-24,스페인
무선 통신 시스템에서 복수개의 세그먼트 주파수 대역에 걸쳐서 부호화 및 인터리빙을 수행하는 장치 및 방법,2011-10-21,2016-04-06,영국
무선 통신 시스템에서 복수개의 세그먼트 주파수 대역에 걸쳐서 부호화 및 인터리빙을 수행하는 장치 및 방법,2017-06-14,2021-03-24,이탈리아
무선 통신 시스템에서 데이터 블록 전송 방법 및 전송기,2012-08-21,2013-02-26,미국
무선통신시스템에서 복수개의 세그먼트 주파수 대역에 걸쳐서 부호화 및 인터리빙을 수행하는 장치 및 방법,2013-10-08,2014-05-06,미국
무선 통신 시스템에서 복수개의 세그먼트 주파수 대역에 걸쳐서 부호화 및 인터리빙을 수행하는 장치 및 방법,2014-03-18,2015-02-17,미국
통신 시스템에서 데이터 송수신 장치 및 방법,2011-10-26,2017-10-25,대한민국
다중 사용자 기반 무선통신 시스템에서의 응답 요청 프레임 및 응답 프레임의 전송방법,2012-05-23,2015-08-11,미국
복수의 세그먼트 주파수 대역을 이용하는 무선 통신 시스템에서 다중 사용자에게 프레임을 전송하는 방법 및 이의 수신 방법,2011-05-09,2017-09-18,대한민국
가변게이트 전계효과트랜지스터(FET) 및 그 FET를 구비한 전기전자장치,2013-06-28,2013-11-19,미국
Heterogeneous Network 환경에서 간섭 관리 방법,2013-05-08,2016-04-19,미국
ＳＮＳ 기반 타임머신 서비스 제공 장치 및 방법,2011-04-01,2017-05-19,대한민국
전기 자동차의 배터리 충전을 관리하기 위한 시스템 및 그 방법,2012-06-07,2014-09-02,미국
무선 통신 시스템에서 다중 안테나 신호 검출 방법 및 장치,2011-06-17,2017-04-11,대한민국
복합상황정보 관리 장치 및 그를 이용한 복합 상황 정보 제공 방법,2012-03-14,2013-09-24,미국
액티브 메이트릭스 유기발광다이오드,2012-01-04,2013-07-02,미국
무선 메쉬 네트워크에서 통신 방법 및 이를 지원하는 장치,2011-04-11,2017-06-14,대한민국
다중입력다중출력 전송의 신호검출 방법 및 장치,2011-06-24,2017-02-22,대한민국
실시간 방송 프로그램의 기준 영상과 부가 영상간의 동기화 방법 및 이를 수행하는 송수신 시스템,2013-07-15,2018-01-09,미국
현실-가상 융합공간기반 교육시스템 및 방법,2012-04-04,2015-07-07,미국
밀리미터 대역의 이동통신 시스템에서 단말의 피드백 및 효율적인 스케줄링 방법,2016-12-16,2019-01-08,미국
자연어 음성인식의 성능향상을 위한 데이터 증강장치 및 방법,2016-03-15,2020-09-16,대한민국
패치 안테나,2016-02-12,2021-01-28,대한민국
ＧＰＳ 신호 동기 제어 장치 및 방법,2016-03-16,2018-12-24,대한민국
동적 다채널 방송 서비스 제공 방법 및 그 장치,2017-05-18,2020-05-05,미국
열차주행상태 모니터링을 위한 자율 IoT 무선 센서 중계망 동적 구성방식,2016-11-18,2019-10-22,미국
신호 처리 방법 및 송신기 및 수신기,2016-03-25,2022-06-29,대한민국
네트워크 접속 방법 및 네트워크 장치,2016-03-02,2019-06-07,대한민국
"저전력 무선 네트워크 설정 장치, 방법 및 시스템",2016-06-14,2018-10-08,대한민국
유연 압전 콤포지트 및 이를 포함하는 압전 장치,2016-08-18,2018-12-04,미국
단일 인덕터 다중 출력 직류-직류 전력변환기의 CR 절감을 위한 펄스 생성기,2016-07-29,2017-05-09,미국
소형 셀 기지국 운용 시스템 및 방법,2016-07-19,2018-03-22,대한민국
데이터 전송 방법 및 장치,2016-04-19,2022-10-25,대한민국
통신망 추상화 기술을 이용한 도슨트 서비스 제공 방법 및 시스템,2016-07-26,2020-04-09,대한민국
IOT 기반 휴대형 밀폐공간 가스 측정 장치 및 그 방법,2017-03-06,2019-06-04,미국
이더넷 네트워크 이동성 실현 방안 및 장치,2016-11-16,2018-11-13,미국
자연어 음성인식시스템을 위한 다중 이벤트 검출 정보 기반 발화검증 장치 및 방법,2016-06-17,2017-10-24,미국
밀리미터웨이브 빔포밍 신호를 이용한 단말 측위 방법,2017-07-18,2019-07-09,미국
단말기의 전력감소를 위한 상황정보 및 사용패턴 분석 기반 대기모드 제어 장치 및 그 방법,2016-06-13,2019-01-23,대한민국
실시간 QoS 모니터링 장치 및 방법,2016-03-03,2022-10-18,대한민국
레이저 레이더 시스템용 펄스 광원,2016-08-15,2018-02-27,미국
몰입형 가상 환경에서의 가상 재질감 제공 장치 및 그 동작 방법,2016-03-21,2022-08-16,대한민국
소형셀 기지국의 무선 링크 제어 방법 및 장치,2016-09-01,2018-06-26,대한민국
광다중화기 또는 광역다중화기를 위한 다채널 박막 필터 접합 방법,2016-05-04,2020-01-06,대한민국
3차원 무선충전 장치 및 방법,2016-11-29,2019-02-05,미국
계층분할다중화가 적용된 방송신호 전송용 중계 장치 및 그 방법,2017-03-02,2019-09-03,미국
NFV 환경에서의 자원 배치 알고리즘,2017-02-23,2019-08-20,미국
레이어드 디비전 멀티플렉싱을 이용한 방송 신호 프레임 생성 장치 및 방송 신호 프레임 생성 방법,2016-01-06,2022-02-09,대한민국
"차세대 방송 시스템을 위한 LDM 기반 Framing, Multiple-PLP 및 Signaling 방법",2020-04-06,2022-09-20,미국
원격탐사용 모의 영상 자료 생성 시스템 및 이를 이용한 영상자료의 유효성 검사 방법,2016-12-30,2018-08-01,대한민국
반도체 소자 및 그 제조 방법,2016-08-09,2021-11-24,대한민국
"분산 에너지 자원 거래 중계 장치, 방법 및 시스템",2016-11-08,2022-03-07,대한민국
GNSS 신호 기만 판단 장치 및 방법,2016-05-02,2022-10-24,대한민국
LTE 시스템의 프레임 구성 방법,2018-04-17,2022-09-28,독일
비면허대역 무선통신 시스템 사운딩 참조신호 전송하는 장치 및 방법,2018-04-20,2021-02-16,미국
마그네타이트 입자를 기반으로 하는 중금속 제거 및 위상차 분석을 이용한 제거 효율 분석 시스템,2017-05-18,2020-04-28,미국
인체 통신을 위한 수신기 및 그것의 노이지 제거 방법,2016-08-11,2018-01-24,대한민국
NFC 기반 저전력 IoT 통신 단말에서의 IP 연결성을 유지하기 위한 기법 및 장치,2016-10-27,2018-07-24,미국
확장 상향링크 서브프레임을 이용한 상향링크 전송 방법 및 장치,2017-04-04,2022-06-14,대한민국
유도가열방식의 3D 프린팅 소재 제조 및 그 방법,2017-05-02,2020-12-08,중국
열분포 모니터링용 내시경 장치,2017-05-31,2020-03-17,미국
이종접합 트랜지스터,2016-07-18,2021-06-01,대한민국
상부절연막 구비 전도성 구조체 형성 기술,2017-05-16,2018-11-20,미국
다채널 광 서브 어셈블리 및 그의 제조방법,2016-09-19,2019-08-21,대한민국
Priority based network access strategy for train crossing in directional communication networks,2017-05-12,2019-07-23,미국
무선 통신 시스템의 셀 탐색 방법,2018-11-12,2020-12-03,일본
[FVC] 움직임 벡터 예측을 이용한 움직임 보상 방법 및 장치,2018-11-21,2021-07-30,일본
다공성 골 이식재 및 이의 제조 방법,2016-06-30,2018-10-05,대한민국
반도체 소자 및 그 제조 방법,2016-07-27,2020-08-31,대한민국
개인 맞춤형 학습 제공 장치 및 그 방법,2017-01-24,2020-08-04,미국
FMMD(Frequency Mixing Magnetic Detection) 기술의 신호 분석 기술 및 그 장치,2017-07-24,2019-04-23,미국
적응형 지식 베이스 구축 방법 및 그 시스템,2017-02-14,2019-12-02,대한민국
재구성 고차 모드 코니칼 빔 생성 안테나 장치,2012-09-12,2014-10-14,미국
무선 통신 시스템에서 제어채널 송수신 방법,2012-06-20,2019-01-24,대한민국
무선 통신시스템에서 제어 채널 송수신 방법,2019-04-30,2021-01-12,미국
"이동통신에서 모바일 ＩＰＴＶ 서비스 지역의 동적 구성을 위한 기지국 선택 방법과 그를 위한, 시스템, 장치 및 컴퓨터로 읽을 수 있는 기록매체",2011-12-01,2018-02-13,대한민국
음향 센서 및 그 제조 방법,2012-07-24,2015-06-23,미국
위성 원격측정 데이터의 후처리를 위한 고속 데이터 검색 장치 및 방법,2011-10-07,2018-04-11,대한민국
무선 메쉬 시스템에서의 메쉬 노드 동기화 방법,2011-11-09,2018-05-17,대한민국
"모바일 방송 서비스를 위한 시스템 및 방법, 컨트롤러 및 컨트롤러의 구동 방법, 프로그램을 기록한 컴퓨터로 읽을 수 있는 매체",2011-07-13,2018-11-08,대한민국
ＲＦＩＤ 시스템 및 이의 통신방법,2012-08-10,2019-04-15,대한민국
